[Header]
HydroSoftVersion=2.90
CreationDate=12/05/24 09:01:10
FileType=dat
DeviceType=HydroScat-6
DataSource=Instrument Cast 287
CalSource=HydroScat-6
Serial=HS120460
Config=M2B2F1
[SigmaParams]
ad400=.01
aStarFile=C:\Program Files (x86)\HydroSoft\aStar.csv
awFile=HydroSoft.exe
bbTildeValue=.015
C=.1
gammad=.011
gammay=.014
ExponentialFit=True
[bbParams]
PureWaterModel=MorelFresh
bb0=4.4968E-04
beta0=8.34399E-05
lambda0=525
gammaLambda=4.32
chi=1.08
[Channels]
"bb420"
"bb510"
"bb442"
"bb700"
"bb470"
"bb590"
"fl510"
"fl700"
[ColumnHeadings]
Time,Depth,bb420,bb510,bb442,bb700,bb470,bb590,fl510,fl700,bb420uncorr,bb510uncorr,bb442uncorr,bb700uncorr,bb470uncorr,bb590uncorr,fl510uncorr,fl700uncorr,betabb420,betabb510,betabb442,betabb700,betabb470,betabb590,betafl510,betafl700,betabb420uncorr,betabb510uncorr,betabb442uncorr,betabb700uncorr,betabb470uncorr,betabb590uncorr,betafl510uncorr,betafl700uncorr
[Data]
45630.5659259259,8.666451,1.401955E-02,9.97115E-03,1.348794E-02,8.188802E-03,1.164553E-02,1.046972E-02,3.727647E-04,4.110926E-03,1.353501E-02,9.715788E-03,1.301879E-02,7.994712E-03,1.129266E-02,1.017046E-02,3.617461E-04,4.062117E-03,2.111024E-03,1.488865E-03,2.023771E-03,1.211701E-03,1.743846E-03,1.553245E-03,5.32763E-05,5.9825E-04,2.039621E-03,1.451234E-03,1.954635E-03,1.183099E-03,1.691846E-03,1.509145E-03,5.32763E-05,5.9825E-04,
45630.5659375,9.039351,.0144316,1.068156E-02,1.401163E-02,7.90731E-03,1.293103E-02,1.109183E-02,4.248119E-04,4.215179E-03,.0139176,1.038841E-02,1.350514E-02,7.726197E-03,1.249581E-02,1.075629E-02,4.116421E-04,4.166833E-03,2.171747E-03,1.593555E-03,2.100945E-03,1.170219E-03,1.933285E-03,1.644922E-03,6.062476E-05,6.136721E-04,.002096,1.550355E-03,2.026306E-03,1.143529E-03,1.869148E-03,1.595475E-03,6.062476E-05,6.136721E-04,
45630.5659490741,9.85295,1.501484E-02,1.207355E-02,1.539521E-02,9.683428E-03,1.291549E-02,1.019865E-02,3.355735E-04,4.203876E-03,1.445772E-02,1.169916E-02,1.478362E-02,9.413233E-03,1.248131E-02,9.914579E-03,3.243241E-04,4.145017E-03,2.257695E-03,1.798686E-03,2.304837E-03,1.431957E-03,1.930995E-03,1.513298E-03,4.776496E-05,6.104591E-04,2.175595E-03,1.743514E-03,2.214709E-03,1.39214E-03,1.867012E-03,1.471437E-03,4.776496E-05,6.104591E-04,
45630.5659606481,10.56485,1.346346E-02,1.000752E-02,1.316719E-02,6.966628E-03,1.046076E-02,8.529121E-03,4.024794E-04,4.592889E-03,.0130174,9.750281E-03,1.272024E-02,6.82572E-03,1.017649E-02,8.330189E-03,3.908521E-04,4.546429E-03,2.029076E-03,1.494225E-03,1.976503E-03,1.031595E-03,1.569253E-03,1.267268E-03,5.75629E-05,6.695773E-04,1.963342E-03,1.456317E-03,1.910639E-03,1.01083E-03,1.527361E-03,1.237953E-03,5.75629E-05,6.695773E-04,
45630.5659722222,10.90385,1.151787E-02,9.898436E-03,1.055192E-02,6.811283E-03,9.787118E-03,1.012878E-02,3.330566E-04,4.490492E-03,1.119449E-02,9.646801E-03,1.026682E-02,6.676545E-03,9.538678E-03,9.848562E-03,3.243241E-04,4.446077E-03,1.742363E-03,1.47815E-03,1.591104E-03,1.008703E-03,1.469981E-03,1.503002E-03,4.776496E-05,6.547977E-04,1.694709E-03,1.441068E-03,1.54909E-03,9.88847E-04,1.433369E-03,1.461708E-03,4.776496E-05,6.547977E-04,
45630.5659837963,10.853,1.016063E-02,6.976745E-03,9.748337E-03,5.033422E-03,9.771836E-03,8.997128E-03,3.778503E-04,4.702948E-03,9.91171E-03,6.852836E-03,9.505996E-03,4.959674E-03,9.524181E-03,8.775798E-03,3.700621E-04,4.668599E-03,1.542354E-03,1.047594E-03,1.472683E-03,7.467076E-04,1.467729E-03,1.336236E-03,5.450105E-05,6.875697E-04,1.505671E-03,1.029334E-03,1.436971E-03,7.358397E-04,1.431233E-03,1.30362E-03,5.450105E-05,6.875697E-04,
45630.5659953704,11.07335,1.218817E-02,9.892763E-03,1.057996E-02,6.129423E-03,9.024568E-03,6.892012E-03,3.846388E-04,4.90424E-03,1.182463E-02,9.641416E-03,.0102933,6.020174E-03,8.813891E-03,6.762302E-03,3.742201E-04,4.860579E-03,1.841142E-03,1.477314E-03,1.595235E-03,9.082201E-04,1.357608E-03,1.026015E-03,5.511342E-05,7.158436E-04,1.78757E-03,1.440274E-03,1.552993E-03,8.921206E-04,1.326561E-03,1.006901E-03,5.511342E-05,7.158436E-04,
45630.5660069444,11.20895,9.663061E-03,7.000549E-03,1.029215E-02,6.627874E-03,8.887643E-03,7.741795E-03,3.776078E-04,4.885792E-03,9.439105E-03,6.875776E-03,1.002124E-02,6.500247E-03,8.683429E-03,7.577934E-03,3.700621E-04,4.838762E-03,1.469029E-03,1.051102E-03,1.552823E-03,9.816745E-04,1.337429E-03,1.151244E-03,5.450105E-05,7.126307E-04,1.436026E-03,1.032715E-03,1.512899E-03,9.628668E-04,1.307335E-03,1.127096E-03,5.450105E-05,7.126307E-04,
45630.5660185185,11.3954,1.564866E-02,1.075255E-02,9.989552E-03,5.28228E-03,8.918062E-03,6.608389E-03,3.438662E-04,4.687087E-03,1.504285E-02,1.045548E-02,9.734726E-03,5.201066E-03,8.71242E-03,6.489216E-03,3.326401E-04,4.651146E-03,2.351099E-03,1.604016E-03,1.50823E-03,7.833806E-04,1.341912E-03,9.842191E-04,4.89897E-05,6.849994E-04,2.261823E-03,1.560239E-03,1.470677E-03,7.714126E-04,1.311608E-03,9.666571E-04,4.89897E-05,6.849994E-04,
45630.5660300926,11.9039,1.274055E-02,9.866419E-03,9.125184E-03,5.153611E-03,9.787118E-03,7.202609E-03,3.592488E-04,4.444415E-03,1.234225E-02,9.616417E-03,8.913709E-03,5.076302E-03,9.538678E-03,7.060865E-03,3.492721E-04,4.411171E-03,1.922544E-03,1.473432E-03,1.380852E-03,7.644193E-04,1.469981E-03,1.071787E-03,5.143919E-05,6.49657E-04,1.863848E-03,1.43659E-03,1.349688E-03,7.530266E-04,1.433369E-03,1.050898E-03,5.143919E-05,6.49657E-04,
45630.5660416667,12.2429,1.068332E-02,6.654895E-03,9.563196E-03,5.450253E-03,1.084461E-02,7.746296E-03,3.524731E-04,4.573899E-03,1.040682E-02,6.542395E-03,9.330236E-03,5.363803E-03,1.053888E-02,7.582243E-03,3.451141E-04,4.537703E-03,1.619379E-03,1.000164E-03,.0014454,8.081341E-04,1.625818E-03,1.151907E-03,5.082682E-05,6.682921E-04,1.578633E-03,9.835858E-04,1.41107E-03,7.953943E-04,1.580765E-03,1.127731E-03,5.082682E-05,6.682921E-04,
45630.5660532407,12.12425,9.828771E-03,7.045958E-03,9.269385E-03,5.640823E-03,8.629283E-03,7.304192E-03,4.159118E-04,4.522391E-03,9.59664E-03,6.919526E-03,9.050946E-03,5.548238E-03,8.437001E-03,.0071584,4.074841E-04,4.485345E-03,1.493449E-03,1.057794E-03,1.402102E-03,8.362174E-04,1.299356E-03,1.086756E-03,6.001239E-05,6.60581E-04,1.459241E-03,1.039162E-03,1.369912E-03,8.225736E-04,1.271021E-03,1.065272E-03,6.001239E-05,6.60581E-04,
45630.5660648148,12.7514,9.994628E-03,8.856615E-03,8.01587E-03,3.977732E-03,.0100318,6.039911E-03,3.914858E-04,4.423524E-03,9.754175E-03,8.655474E-03,7.854333E-03,3.931721E-03,9.770609E-03,5.940549E-03,3.825361E-04,4.398082E-03,1.51789E-03,1.324622E-03,1.217378E-03,5.911355E-04,1.506038E-03,9.004452E-04,5.633816E-05,6.477293E-04,1.482456E-03,1.29498E-03,1.193573E-03,5.84355E-04,1.467548E-03,8.858026E-04,5.633816E-05,6.477293E-04,
