[Header]
HydroSoftVersion=2.90
CreationDate=12/05/24 09:04:13
FileType=dat
DeviceType=HydroScat-6
DataSource=Instrument Cast 289
CalSource=HydroScat-6
Serial=HS120460
Config=M2B2F1
[SigmaParams]
ad400=.01
aStarFile=C:\Program Files (x86)\HydroSoft\aStar.csv
awFile=HydroSoft.exe
bbTildeValue=.015
C=.1
gammad=.011
gammay=.014
ExponentialFit=True
[bbParams]
PureWaterModel=MorelFresh
bb0=4.4968E-04
beta0=8.34399E-05
lambda0=525
gammaLambda=4.32
chi=1.08
[Channels]
"bb420"
"bb510"
"bb442"
"bb700"
"bb470"
"bb590"
"fl510"
"fl700"
[ColumnHeadings]
Time,Depth,bb420,bb510,bb442,bb700,bb470,bb590,fl510,fl700,bb420uncorr,bb510uncorr,bb442uncorr,bb700uncorr,bb470uncorr,bb590uncorr,fl510uncorr,fl700uncorr,betabb420,betabb510,betabb442,betabb700,betabb470,betabb590,betafl510,betafl700,betabb420uncorr,betabb510uncorr,betabb442uncorr,betabb700uncorr,betabb470uncorr,betabb590uncorr,betafl510uncorr,betafl700uncorr
[Data]
45630.6044907407,3.27635,1.261772E-02,9.024625E-03,1.193593E-02,6.640281E-03,.0107594,7.841041E-03,4.230786E-04,2.589807E-03,1.222728E-02,8.815709E-03,1.156947E-02,6.512179E-03,.0104585,7.67294E-03,4.118581E-04,2.564832E-03,1.904444E-03,1.34938E-03,1.795058E-03,9.835028E-04,1.613261E-03,1.165869E-03,6.065657E-05,3.777367E-04,1.846906E-03,1.318594E-03,1.741054E-03,9.646251E-04,1.56892E-03,1.141097E-03,6.065657E-05,3.777367E-04,
45630.6045023148,3.71705,1.252214E-02,9.205561E-03,1.186635E-02,6.498768E-03,1.094345E-02,7.854406E-03,4.44283E-04,2.620521E-03,1.213776E-02,8.988113E-03,.0115042,6.376035E-03,1.063209E-02,7.68573E-03,4.324511E-04,2.595787E-03,1.890358E-03,1.376044E-03,1.784805E-03,9.626488E-04,1.640384E-03,1.167839E-03,6.36894E-05,3.822956E-04,1.833714E-03,.001344,1.731437E-03,9.445622E-04,.0015945,1.142982E-03,6.36894E-05,3.822956E-04,
45630.6045138889,4.073,1.348016E-02,.010222,1.295168E-02,7.065515E-03,.0117277,8.208181E-03,3.054531E-04,2.729923E-03,1.303297E-02,9.953577E-03,1.251937E-02,6.920611E-03,1.136982E-02,8.02394E-03,2.965379E-04,2.701918E-03,2.031537E-03,1.525832E-03,1.944745E-03,1.046168E-03,1.755956E-03,1.219973E-03,4.367273E-05,3.979261E-04,1.965636E-03,1.486276E-03,1.881037E-03,1.024814E-03,1.703216E-03,1.192822E-03,4.367273E-05,3.979261E-04,
45630.604525463,4.25945,.0130245,9.477289E-03,1.443734E-02,7.173407E-03,1.143515E-02,9.835798E-03,4.193281E-04,2.699071E-03,1.260774E-02,9.24672E-03,.0138995,7.02408E-03,1.109498E-02,9.571468E-03,4.077395E-04,2.670963E-03,1.964388E-03,1.416087E-03,2.16368E-03,1.062067E-03,1.712843E-03,1.459827E-03,6.005001E-05,3.933672E-04,1.902973E-03,1.382109E-03,2.084421E-03,1.040062E-03,1.662714E-03,1.420874E-03,6.005001E-05,3.933672E-04,
45630.604537037,4.63235,1.433177E-02,1.065972E-02,1.309088E-02,7.147501E-03,1.253379E-02,8.939174E-03,3.743648E-04,3.096485E-03,1.382498E-02,1.036777E-02,1.264914E-02,6.999242E-03,1.212488E-02,8.72068E-03,3.628173E-04,3.064354E-03,2.157035E-03,1.590337E-03,1.965258E-03,1.05825E-03,1.874744E-03,1.327696E-03,5.343407E-05,4.51304E-04,2.082352E-03,1.547314E-03,1.900161E-03,1.036401E-03,1.814486E-03,1.295498E-03,5.343407E-05,4.51304E-04,
45630.6045486111,4.9205,1.384973E-02,1.042273E-02,1.364388E-02,7.758852E-03,1.196192E-02,9.247549E-03,3.910087E-04,3.15283E-03,1.337711E-02,1.014364E-02,1.316375E-02,7.584407E-03,1.158954E-02,9.013763E-03,3.793091E-04,3.11734E-03,2.085999E-03,1.555413E-03,2.046751E-03,1.148341E-03,1.790471E-03,1.37314E-03,5.586289E-05,4.591075E-04,2.01635E-03,1.514284E-03,1.975997E-03,1.122635E-03,1.735596E-03,1.338688E-03,5.586289E-05,4.591075E-04,
45630.6045601852,4.97135,1.450077E-02,.0107692,.014162,7.701891E-03,1.275062E-02,9.252043E-03,4.000371E-04,3.085588E-03,1.398174E-02,1.047122E-02,1.364454E-02,7.529974E-03,1.232744E-02,9.018031E-03,3.875549E-04,3.051108E-03,2.18194E-03,1.606471E-03,2.123104E-03,1.139947E-03,1.906698E-03,1.373802E-03,5.70773E-05,4.493531E-04,2.105453E-03,1.562558E-03,2.046848E-03,1.114613E-03,1.844337E-03,1.339317E-03,5.70773E-05,4.493531E-04,
45630.6045717593,5.68325,1.435591E-02,1.062324E-02,1.361788E-02,7.815831E-03,1.284362E-02,1.015323E-02,4.254076E-04,3.081633E-03,1.384738E-02,1.033329E-02,1.313959E-02,7.638841E-03,1.241426E-02,9.87167E-03,4.122924E-04,3.046692E-03,2.160592E-03,1.584961E-03,2.04292E-03,1.156738E-03,1.920404E-03,1.506606E-03,6.072054E-05,4.487028E-04,2.085652E-03,1.542232E-03,1.972436E-03,1.130656E-03,1.85713E-03,1.465114E-03,6.072054E-05,4.487028E-04,
45630.6045833333,5.75105,1.392196E-02,1.044095E-02,1.327503E-02,7.642103E-03,1.163812E-02,9.046771E-03,4.08058E-04,3.125505E-03,1.344429E-02,1.016088E-02,1.282068E-02,7.472818E-03,.0112857,8.822998E-03,3.958007E-04,3.090847E-03,2.096643E-03,1.558098E-03,1.992396E-03,1.131137E-03,1.742754E-03,1.343552E-03,5.829172E-05,4.552058E-04,2.026251E-03,1.516825E-03,1.92544E-03,1.10619E-03,1.69082E-03,1.310576E-03,5.829172E-05,4.552058E-04,
45630.6045949074,6.36125,1.474246E-02,1.104318E-02,1.391969E-02,7.750307E-03,1.302977E-02,9.167187E-03,3.917926E-04,3.215311E-03,1.420568E-02,1.072984E-02,1.341985E-02,7.576243E-03,1.258788E-02,8.937434E-03,3.793091E-04,3.179157E-03,2.217556E-03,1.646845E-03,2.087395E-03,1.147082E-03,1.947836E-03,1.361297E-03,5.586289E-05,4.682117E-04,2.138454E-03,1.600669E-03,2.013736E-03,1.121431E-03,1.882716E-03,1.32744E-03,5.586289E-05,4.682117E-04,
